tanslat=0,tanslat=10,tanslat=20,tanslat=30,tanslat=40,tanslat=50,tanslat=60,tanslat=70
1.1000920848048,1.1060880980649,1.1146395064216,1.1146395064217,1.1146395064212,1.1146395064211,1.1146395064208,1.1146395064195
1.0958427340313,1.1009742259173,1.1089092785213,1.108909278523,1.1089092785256,1.1089092785295,1.1089092785366,1.1089092785481
1.0919724341844,1.0964745047025,1.1039384529709,1.1039384529742,1.103938452979,1.1039384529862,1.1039384529981,1.1039384530182
1.0881555694998,1.0922971421314,1.0992487617411,1.099248761739,1.0992487617378,1.0992487617343,1.0992487617296,1.0992487617218
1.084934989608,1.0889770721959,1.0951983587976,1.0951983587963,1.095198358794,1.09519835879,1.0951983587848,1.0951983587758
1.0842060458509,1.0882295007533,1.0942867446941,1.0942867446922,1.0942867446883,1.094286744683,1.0942867446751,1.0942867446612
1.0822154093954,1.0861665003425,1.0918769600234,1.0918769600262,1.0918769600308,1.0918769600378,1.0918769600486,1.0918769600663
1.0800523245096,1.0839266242598,1.0892597821487,1.0892597821491,1.0892597821497,1.089259782151,1.0892597821526,1.0892597821558
1.078112843282,1.0818903992328,1.0869370466855,1.0869370466846,1.0869370466835,1.0869370466803,1.0869370466764,1.0869370466702
1.0761272301961,1.0797271779076,1.0845296520836,1.0845296520916,1.0845296521041,1.0845296521235,1.0845296521516,1.084529652199
1.074544506861,1.078038620876,1.0826992248904,1.0826992248853,1.0826992248787,1.082699224868,1.0826992248523,1.0826992248276
1.0728107671753,1.0761706590613,1.0806490397259,1.0806490397296,1.0806490397354,1.0806490397437,1.080649039756,1.0806490397758
1.0712365030256,1.0744770029931,1.0787930434344,1.078793043434,1.0787930434319,1.0787930434297,1.0787930434266,1.0787930434218
1.069746676452,1.0728768053973,1.0770432230463,1.0770432230421,1.0770432230351,1.077043223026,1.0770432230128,1.0770432229914
1.0683806343163,1.0714204480985,1.0754649028239,1.0754649028241,1.0754649028234,1.0754649028223,1.075464902821,1.0754649028191
1.0670144070997,1.0699618220551,1.0738815945994,1.0738815946041,1.0738815946112,1.0738815946221,1.0738815946373,1.0738815946617
1.06564552178,1.0684906859849,1.0722713408209,1.0722713408212,1.0722713408222,1.0722713408219,1.072271340823,1.0722713408238
1.0643678126818,1.0671205839671,1.0707763064983,1.0707763064945,1.0707763064893,1.0707763064819,1.0707763064703,1.0707763064527
1.0632355975384,1.0659137795766,1.0694681979165,1.0694681979159,1.0694681979144,1.0694681979129,1.0694681979104,1.0694681979068
1.0621832008495,1.0647995143121,1.0682712700693,1.0682712700626,1.0682712700528,1.0682712700381,1.0682712700175,1.0682712699854
1.0611878432581,1.0637487436546,1.0671465493867,1.067146549388,1.0671465493898,1.0671465493916,1.0671465493948,1.0671465494003
1.0601972644069,1.062692331449,1.066000403044,1.0660004030338,1.0660004030189,1.0660004029969,1.0660004029656,1.0660004029172
1.0593643961987,1.061823252747,1.0650841107292,1.0650841107246,1.0650841107186,1.0650841107091,1.0650841106961,1.0650841106758
1.0584267770039,1.0608254916109,1.0640046481955,1.0640046481959,1.0640046481966,1.0640046481973,1.0640046481995,1.0640046482011
1.0569188288065,1.059222969909,1.062274540345,1.0622745403485,1.0622745403534,1.0622745403617,1.0622745403725,1.0622745403892
1.0557238714682,1.0579568847735,1.060911942856,1.0609119428544,1.0609119428537,1.060911942851,1.0609119428479,1.0609119428436
1.054627784576,1.0568087622272,1.0596949150501,1.0596949150499,1.0596949150496,1.0596949150491,1.0596949150488,1.0596949150477
1.0534880244684,1.0556051844834,1.0584055300644,1.0584055300598,1.0584055300539,1.0584055300452,1.0584055300331,1.058405530013
1.0523983102443,1.0544566151194,1.0571778601809,1.0571778601838,1.0571778601878,1.057177860194,1.0571778602024,1.0571778602156
1.0513142736192,1.0533087027992,1.0559434581852,1.0559434581845,1.0559434581827,1.0559434581807,1.0559434581772,1.0559434581722
1.0502826478559,1.052225501507,1.0547917225175,1.0547917225151,1.0547917225113,1.0547917225063,1.054791722499,1.0547917224863
1.0492698559517,1.0511549688017,1.0536438803686,1.053643880372,1.0536438803761,1.0536438803834,1.0536438803931,1.0536438804093
1.0481336801813,1.0499464921395,1.0523375773254,1.0523375773195,1.0523375773118,1.052337577299,1.0523375772807,1.0523375772514
1.047088997755,1.048839774491,1.051147310982,1.0511473109791,1.0511473109741,1.0511473109664,1.0511473109571,1.0511473109396
1.0459873545775,1.047668721481,1.0498837234646,1.0498837234762,1.0498837234919,1.049883723517,1.0498837235522,1.0498837236109
1.0449239575751,1.0465385672869,1.0486636791787,1.0486636791759,1.0486636791719,1.0486636791653,1.0486636791563,1.0486636791408
1.0438972581211,1.0454522519166,1.0474977696674,1.0474977696763,1.0474977696877,1.0474977697073,1.0474977697337,1.0474977697781
1.0430960006352,1.0446181257726,1.0466197969284,1.0466197969069,1.0466197968771,1.0466197968277,1.0466197967604,1.0466197966473
1.0422105074987,1.0436870995518,1.0456302872855,1.0456302872814,1.0456302872766,1.0456302872686,1.0456302872575,1.0456302872385
